name,address,description,url,latitude,longitude,st_date,end_date,curr_condition,district_num,district,district_zh,region,location
Queen's Road East,Queen's Road East,One of the oldest roads in Hong Kong. Connected Central to the eastern districts.,https://en.wikipedia.org/wiki/Queen%27s_Road,22.274413,114.174495,1870s,present,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Hung Shing Temple,Nos. 129-131 Queen's Road East,"Hung Shing Temples or Tai Wong Temples are temples dedicated to Hung Shing Tai Wong. Hung Shing temples have been widely built in southern China, especially Guangdong province and in Hong Kong.",https://en.wikipedia.org/wiki/Hung_Shing_Temple,22.2754,114.1708,1847,present,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Hong Kong Grand Theatre,No. 183 Queen's Road East,"Hong Kong Grand Theatre operated during the period 1958 - 1976, except for a temporary suspension in the early 1970s. Prior to its operation, another theatre operated at the same site, considered as 1st generation Grand Theatre.",,22.27475,114.1702,1958,1976,Demolished / No longer exists,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Blue House,72-74A Stone Nullah Lane,Blue House is named after the blue colour painted on its external walls. It is one of the few remaining examples of tong lau of the balcony type in Hong Kong and is listed as a Grade I historic building.,https://en.wikipedia.org/wiki/Blue_House_(Hong_Kong),22.27397,114.17413,1922,present,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Lee Tung Street,Lee Tung Street,"Lee Tung Street, known as the Wedding Card Street by locals, is a street famed in Hong Kong and abroad as a centre for publishing and for the manufacturing of wedding cards and other similar items.",https://en.wikipedia.org/wiki/Lee_Tung_Street,22.276277,114.172535,1950s,present,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Nam Koo Terrace,No. 55 Ship Street,"Nam Koo Terrace is a Grade I Historic Building located at No. 55 Ship Street, Wan Chai, Hong Kong, popularly known as ""The Wan Chai Haunted House""",https://en.wikipedia.org/wiki/Nam_Koo_Terrace,22.27501,114.16967,1918,present,Ruin,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Sailors' Home and Missions to Seamen,No. 39 Gloucester Rd,"The site evolved from reclaimed land into the Sailors Home and Missions to Seamen, later serving as HMS Aorangi alongside the moored liner Aorangi in 1945 - 46, before returning to civilian mission use through 1967. Vacated but not demolished, it was taken over by government, renamed Harcourt House and used as a Queen Mary Hospital student nurses hostel till 1981 ",,22.279,114.17023,1933,1983,Demolished / No longer exists,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Woo Cheong Pawn Shop," 60-66 Johnston Rd, Wan Chai",,https://zh.wikipedia.org/wiki/%E5%92%8C%E6%98%8C%E5%A4%A7%E6%8A%BC,22.1635,114.1017,1888,1900,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
The Race Course Fire Memorial,"Eastern Hospital Rd, Causeway Bay","馬場先難友紀念碑於一九二二年興建，以悼念一九一八年二月二十六日跑馬地馬場大火中的死難者紀念碑位於掃桿埔現時香港大球場位置上方的山坡，是全港唯一為這宗災難的遇難者而建的紀念碑，於二〇一五年列為古蹟。

",https://www.amo.gov.hk/tc/historic-buildings/monuments/hong-kong-island/monuments_110/index.html,22.16217,114.11242,1922,present,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Ship Street,Ship Street,"It starts from Johnston Road, crosses Queen's Road East and goes uphill southward and reaches Kennedy Road. Part of the street is ladders and much of the century-old buildings are abandoned. Locals often refer to these buildings as the ""Ghost House"".","https://en.wikipedia.org/wiki/Ship_Street,_Hong_Kong",22.276201,114.170927,1910s,present,In use,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Wan Chai Power Station,2-14 Electric St,"灣仔發電廠（英語：Wan Chai Power Station）是香港昔日一座火力發電廠，為香港第一所發電站[1]，位於今日香港島灣仔永豐街一帶。
",https://zh.wikipedia.org/zh-hk/%E7%81%A3%E4%BB%94%E7%99%BC%E9%9B%BB%E5%BB%A0,22.276008,114.168249,1889,1922,Demolished / No longer exists,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
Tik Loong Lane,,迪龍里（英語：Tik Lung Lane），是一條已消失的小巷，原位於香港灣仔，道路是與皇后大道東交界的一條盡頭路，在1980年代興建胡忠大廈時成為其中一部分。,https://zh.wikipedia.org/zh-hk/%E8%BF%AA%E9%BE%8D%E9%87%8C,22.274416,114.173066,1847,1980,Ruin,WC,Wan Chai,灣仔,Hong Kong Island,"Wan Chai, Hong Kong"
